Concurso,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3
1,11/3/1996,4,5,30,33,41,52,0,17,2016,0,"39158,92","330,21"
2,18/03/1996,9,37,39,41,43,49,1,65,4488,"2307162,23","14424,02","208,91"
3,25/03/1996,10,11,29,30,36,47,2,62,4261,"391192,51","10515,93","153,01"
4,1/4/1996,1,5,6,27,42,59,0,39,3311,0,"15322,24","180,48"
5,8/4/1996,1,2,6,16,19,46,0,98,5399,0,"5318,1","96,53"
6,15/04/1996,7,13,19,22,40,47,0,109,7147,0,"7214,66","110,03"
7,22/04/1996,3,5,20,21,38,56,0,100,5736,0,"8746,05","152,48"
8,29/04/1996,4,17,37,38,47,53,0,60,5262,0,"16084,11","183,4"
9,6/5/1996,8,43,54,55,56,60,0,17,2175,0,"60043,79","469,31"
10,13/05/1996,4,18,21,25,38,57,0,251,12590,0,"6638,45","132,35"
11,20/05/1996,15,25,37,38,58,59,1,148,9442,"15591365,07","12706,05","199,16"
12,27/05/1996,4,16,19,20,27,43,0,108,6454,0,"6791,17","113,64"
13,3/6/1996,18,32,47,50,54,56,0,43,2934,0,"20543,98","301,09"
14,10/6/1996,2,16,23,27,47,53,0,85,5323,0,"10458,19",167
15,17/06/1996,12,33,35,51,52,60,0,57,3931,0,"17919,89","259,84"
16,24/06/1996,20,32,34,49,58,60,0,31,3250,0,"33307,13","317,7"
17,1/7/1996,6,10,13,19,20,51,1,144,9376,"6789869,08","7628,37","117,16"
18,8/7/1996,23,27,36,37,42,56,0,52,4484,0,"13763,52","159,61"
19,15/07/1996,5,10,12,24,25,60,0,159,9250,0,"5380,14","92,48"
20,22/07/1996,11,25,28,30,33,51,0,72,5728,0,"15486,97","194,67"
21,29/07/1996,6,33,36,46,49,53,0,63,5030,0,"17694,19","221,62"
22,5/8/1996,1,9,31,38,46,56,0,47,4865,0,"27212,9","262,9"
23,12/8/1996,17,37,39,51,52,59,0,74,4897,0,"20198,46","305,23"
24,19/08/1996,1,8,14,28,33,43,1,227,13486,"18661679,61","7897,31","132,93"
25,25/08/1996,24,43,50,54,55,56,0,28,2741,0,"26338,5","269,06"
26,1/9/1996,10,22,50,53,57,58,0,16,1823,0,"52473,74","460,55"
27,8/9/1996,13,17,20,33,44,51,0,99,6466,0,"9306,24","142,49"
28,15/09/1996,3,6,22,24,54,60,0,50,4895,0,"19749,22","201,73"
29,22/09/1996,3,8,14,43,56,58,1,44,5248,"5401793,6","23083,15","193,53"
30,29/09/1996,7,14,15,29,38,50,0,80,5885,0,"11347,74","154,26"
31,6/10/1996,17,19,28,45,48,56,0,103,5680,0,"8793,04","159,45"
32,13/10/1996,5,14,33,36,43,44,0,96,6876,0,"11430,91","159,6"
33,20/10/1996,5,17,33,39,42,49,1,128,8722,"13997410,74","9545,76","140,09"
34,27/10/1996,13,15,17,40,53,57,0,51,2627,0,"13604,06","264,11"
35,3/11/1996,4,16,21,23,54,57,0,39,3576,0,"20051,18","218,68"
36,10/11/1996,3,13,17,25,29,51,0,143,8548,0,"6238,12","104,36"
